Term,Count
israel,7351
israeli,6125
palestinian,3384
arab,3280
political,2562
state,2148
jewish,2101
university,2084
press,2074
palestine,2073
conflict,1957
war,1869
international,1661
article,1610
middle,1544
east,1509
palestinians,1395
rights,1392
studies,1369
states,1332
social,1313
peace,1294
jews,1264
politics,1241
history,1217
policy,1212
study,1173
law,1160
human,1135
world,1125
national,1114
united,1073
book,1022
new york,975
access,936
military,923
holocaust,918
content,908
society,899
american,868
genocide,861
relations,859
jerusalem,850
available,832
identity,822
use,815
west,808
research,802
process,800
london,777
analysis,768
security,764
years,763
power,760
case,755
paper,751
ethnic,712
economic,711
public,706
cultural,703
group,688
people,687
time,683
journal,672
foreign,656
religious,654
role,649
abstract,648
based,647
lebanon,635
work,634
government,633
bank,630
gaza,626
review,603
groups,599
arabs,596
information,595
issue,590
1948,583
historical,576
author,574
support,566
different,555
life,554
vol,553
u.s,548
community,540
legal,539
land,539
occupied,538
general,537
occupation,531
violence,527
1967,526
self,519
zionist,516
movement,516
development,514
context,504
second,501
culture,499
women,498
provided,493
literature,478
israelis,478
pages,472
question,471
important,468
including,466
territories,465
anti,456
events,455
relationship,446
countries,444
century,443
cambridge,440
modern,433
early,433
recent,432
link,430
iran,418
following,418
zionism,416
non,416
european,415
right,414
report,414
major,414
settlement,412
issues,410
memory,408
egypt,405
examines,404
british,404
books,402
section,401
islamic,401
president,398
published,397
status,395
control,394
preview,389
present,389
future,389
soviet,386
way,384
policies,382
oxford,380
minister,377
long,375
making,373
documents,373
members,371
media,371
past,369
impact,366
education,366
notes,365
approach,364
place,362
settler,361
party,359
eastern,357
change,355
western,354
local,351
immigrants,349
post,347
colonial,347
end,346
discourse,346
image,345
various,344
order,344
collective,344
attitudes,343
period,342
argues,342
egyptian,341
nations,339
index,339
resistance,338
high,337
syria,336
regional,336
david,336
nation,335
volume,334
particular,329
used,328
struggle,328
citizens,324
population,323
central,323
view,322
german,320
understanding,319
example,319
day,318
court,318
jordan,316
material,314
crisis,314
region,313
data,313
current,312
critical,311
leaders,310
http,310
significant,309
october,309
negotiations,309
minority,309
hebrew,309
fact,308
june,306
iraq,306
contemporary,303
labor,300
especially,300
justice,299
personal,296
nationalism,296
economy,296
academic,296
forces,295
decision,295
perspective,293
articles,293
parties,291
cloth,291
main,290
country,290
family,289
beyond,288
november,287
europe,287
like,286
focus,286
washington,284
related,284
july,284
sources,283
findings,283
become,283
theory,282
religion,282
using,281
resolution,281
number,281
institute,280
sense,279
center,277
global,276
children,276
force,275
organization,271
experience,270
september,269
language,269
civil,267
terms,266
south,266
project,266
essay,266
particularly,265
level,264
oslo,263
muslim,263
domestic,263
turkey,262
chapter,260
term,259
despite,259
islam,258
written,257
search,257
1982,257
attention,256
threat,255
gender,255
edited,255
special,254
agreement,254
prime,253
position,253
led,253
efforts,253
year,252
democratic,252
make,251
ways,250
